X,Y,Index_,Event_Unique_ID,Occurrence_Date,Occurrence_year,Month,Day_of_week,Occurrence_Hour,Time_Range,Division,Death,Injuries,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-8854150.677,5424331.102,1,GO-2004133803,2004/01/01 05:00:00+00,2004,January,Thursday,0,Night,D31,0,1,23,Pelmo Park-Humberlea (23),-79.53818881,43.73374801,1
0,0,2,GO-2004120070,2004/01/03 05:00:00+00,2004,January,Saturday,1,Night,D55,0,0,NSA,NSA,0,0,2
-8838686.997,5412376.43,3,GO-2004135509,2004/01/04 05:00:00+00,2004,January,Sunday,4,Night,D14,0,2,78,Kensington-Chinatown (78),-79.39927621,43.65610155,3
-8822736.289,5424197.097,4,GO-2004126451,2004/01/05 05:00:00+00,2004,January,Monday,13,Afternoon,D41,0,1,124,Kennedy Park (124),-79.25598856,43.7328782,4
-8817226.063,5435832.017,5,GO-2004136310,2004/01/06 05:00:00+00,2004,January,Tuesday,19,Evening,D42,0,0,132,Malvern (132),-79.20648936,43.8083524,5
-8817325.018,5434820.41,6,GO-2004139160,2004/01/06 05:00:00+00,2004,January,Tuesday,19,Evening,D42,0,0,132,Malvern (132),-79.20737829,43.80179402,6
-8820271.733,5431728.61,7,GO-2004125755,2004/01/08 05:00:00+00,2004,January,Thursday,8,Morning,D42,1,0,137,Woburn (137),-79.23384908,43.78174501,7
-8850757.515,5421809.669,8,GO-2004136086,2004/01/08 05:00:00+00,2004,January,Thursday,14,Afternoon,D42,1,0,23,Pelmo Park-Humberlea (23),-79.50770752,43.71737949,8
-8818828.26,5435404.007,9,GO-2004147495,2004/01/13 05:00:00+00,2004,January,Tuesday,18,Evening,D42,0,1,132,Malvern (132),-79.22088214,43.80557764,9
-8840948.31,5433976.675,10,GO-2004147139,2004/01/18 05:00:00+00,2004,January,Sunday,19,Evening,D32,0,1,36,Newtonbrook West (36),-79.41958993,43.79632342,10
-8816180.202,5434045.186,11,GO-2004149554,2004/01/19 05:00:00+00,2004,January,Monday,23,Evening,D42,0,0,132,Malvern (132),-79.19709423,43.79676765,11
-8831813.321,5417018.877,12,GO-2004150454,2004/01/19 05:00:00+00,2004,January,Monday,10,Morning,D55,0,0,59,Danforth East York (59),-79.33752893,43.68626652,12
-8817679.497,5434145.628,13,GO-2004149400,2004/01/21 05:00:00+00,2004,January,Wednesday,0,Night,D42,0,0,132,Malvern (132),-79.21056263,43.79741892,13
-8818257.237,5432928.86,14,GO-2004153438,2004/01/23 05:00:00+00,2004,January,Friday,1,Night,D42,0,1,135,Morningside (135),-79.21575255,43.78952892,14
-8827902.187,5434114.725,15,GO-2004153036,2004/01/24 05:00:00+00,2004,January,Saturday,20,Evening,D42,0,0,117,L'Amoreaux (117),-79.30239461,43.79721854,15
-8850322.435,5419576.636,16,GO-2004153417,2004/01/24 05:00:00+00,2004,January,Saturday,1,Night,D31,0,1,113,Weston (113),-79.50379913,43.70287945,16
-8822231.872,5430247.897,17,GO-2004156017,2004/01/24 05:00:00+00,2004,January,Saturday,14,Afternoon,D41,0,0,127,Bendale (127),-79.25145731,43.77214083,17
-8842592.576,5414587.733,18,GO-2004148623,2004/01/25 05:00:00+00,2004,January,Sunday,4,Night,D13,1,0,93,Dovercourt-Wallace Emerson-Junction (93),-79.43436062,43.6704717,18
-8816929.188,5438174.95,19,GO-2004148619,2004/01/25 05:00:00+00,2004,January,Sunday,0,Night,D42,1,0,131,Rouge (131),-79.20382249,43.82353918,19
-8818010.372,5435511.077,20,GO-2004157000,2004/01/26 05:00:00+00,2004,January,Monday,0,Night,D42,0,0,132,Malvern (132),-79.21353493,43.80627178,20
-8845097.539,5422806.964,21,GO-2004170771,2004/01/31 05:00:00+00,2004,January,Saturday,21,Evening,D32,0,0,31,Yorkdale-Glen Park (31),-79.45686309,43.72385422,21
-8824611.22,5429198.82,22,GO-2004187244,2004/02/12 05:00:00+00,2004,February,Thursday,0,Night,D41,0,0,126,Dorset Park (126),-79.27283135,43.76533539,22
-8838410.103,5420220.444,23,GO-2004195761,2004/02/21 05:00:00+00,2004,February,Saturday,11,Morning,D53,0,0,104,Mount Pleasant West (104),-79.39678883,43.70706033,23
-8843417.961,5418361.477,24,GO-2004172092,2004/02/21 05:00:00+00,2004,February,Saturday,0,Night,D13,1,0,107,Oakwood Village (107),-79.44177518,43.69498743,24
-8826324.498,5431966.265,25,GO-2004194940,2004/02/26 05:00:00+00,2004,February,Thursday,19,Evening,D42,0,1,118,Tam O'Shanter-Sullivan (118),-79.28822199,43.78328634,25
-8850757.515,5421809.669,26,GO-2004218585,2004/03/03 05:00:00+00,2004,March,Wednesday,0,Night,D42,1,0,23,Pelmo Park-Humberlea (23),-79.50770752,43.71737949,26
-8813764.041,5429681.494,27,GO-2004218803,2004/03/03 05:00:00+00,2004,March,Wednesday,0,Night,D42,1,1,136,West Hill (136),-79.17538949,43.76846663,27
-8826153.858,5419146.123,28,GO-2004200779,2004/03/04 05:00:00+00,2004,March,Thursday,1,Night,D41,1,0,120,Clairlea-Birchmount (120),-79.28668911,43.70008354,28
-8855893.066,5421914.841,29,GO-2004224089,2004/03/07 05:00:00+00,2004,March,Sunday,1,Night,D23,0,1,5,Elms-Old Rexdale (5),-79.55384096,43.71806233,29
-8820170.283,5431389.105,30,GO-2004233515,2004/03/10 05:00:00+00,2004,March,Wednesday,21,Evening,D42,0,2,137,Woburn (137),-79.23293774,43.77954305,30
-8822790.626,5423868.607,31,GO-2004232446,2004/03/13 05:00:00+00,2004,March,Saturday,0,Night,D41,0,0,124,Kennedy Park (124),-79.25647668,43.73074594,31
-8851431.341,5422187.334,32,GO-2004237217,2004/03/13 05:00:00+00,2004,March,Saturday,22,Evening,D31,0,0,26,Downsview-Roding-CFB (26),-79.5137606,43.71983148,32
-8863215.362,5423803.329,33,GO-2004235315,2004/03/14 05:00:00+00,2004,March,Sunday,18,Evening,D23,0,1,1,West Humber-Clairville (1),-79.61961826,43.73032221,33
